T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
27.2,27.8,25.5,1007.2,93,4,3.7,9.4,5.96
28.7,31,26.6,1008.2,90,4,3.3,5.4,8.72
30,33.4,27.6,1000.6,83,4,1.9,3.5,21.53
28.6,33.2,26,1000.7,90,4,1.1,3.5,22.94
28.1,30.6,25.5,1002.3,93,4,1.1,3.5,21.74
29.6,32,27.5,1007.9,83,4,2.4,3.5,13.95
30.5,34.2,26.7,1007.1,78,4,2.2,3.5,21.19
29.8,33.4,27.5,1005.5,82,4,1.9,5.4,17.95
30.3,33.4,27.3,1003.8,81,4,0.9,5.4,18.91
26.7,28.8,25.8,1006.8,94,4,3.9,5.4,13.94
28.6,31.4,25.2,1005.8,85,4,1.5,3.5,12.36
29,32.8,26.5,1004.3,84,4,1.3,5.4,14.61
27.6,28.8,26.1,999.3,90,3.5,5.6,9.4,12.09
26,27.4,25.2,1004.2,97,2.7,5.7,9.4,10.4
27.6,30.4,24.6,1005.8,92,3.7,3.5,7.6,9.28
28.2,31.4,25.6,1006.9,89,2.6,1.3,3.5,29.9
25.4,25.8,24.6,1004.7,98,2.4,4.6,7.6,15.34
26.8,28.8,24.4,1003.9,93,3.1,4.8,9.4,12.5
28.7,31.2,27.1,1004.6,90,2.7,0.7,3.5,46.67
28.2,31.8,26.5,1004.2,91,3.1,1.5,3.5,19.6
28.6,31.2,26.1,1004.8,87,3.1,1.9,7.6,14.17
29.4,33,26.2,1008.5,84,3.2,1.9,3.5,6.84
30,33.4,26.6,1007.6,83,4,3.9,11.1,8.37
29.6,33,27.5,1006,86,4,4.1,9.4,11.98
29.4,34,27.1,1005.2,84,2.7,0.9,1.9,21.95
30,33.6,27,1004.5,85,3.2,2,5.4,37.95
28.8,32.4,27.2,1004.9,89,2.7,0.4,1.9,47.92
29.7,32.8,26.6,1003.5,86,1.9,1.5,3.5,56
29.4,32.8,26.1,1003.6,86,2.6,1.9,7.6,23.59
29.4,34.8,25,1002.6,83,3.4,1.3,3.5,23.86
25.8,26.6,24.1,1009.3,98,2.7,5,11.1,7.76
27.3,29.2,24.8,1009.9,94,2.4,2.4,5.4,15.52
27.3,31,24.5,1010.2,83,2.7,1.7,7.6,36.44
26.9,31.8,23.6,1010.9,85,2.1,0.9,3.5,66.16
27.4,31.8,23.7,1010.8,81,2.1,1.1,1.9,64.01
27.8,30.4,24.4,1011.4,83,1.9,1.3,3.5,48.8
25.8,31,21.6,1013.3,68,3.2,2.6,7.6,51.35
25.3,31.3,20.6,1013.8,70,2.6,1.5,3.5,66.42
25.7,30.2,20,1014,66,3.5,0.9,3.5,63.8
25.2,30,21.5,1012.8,67,3.1,0.9,3.5,53.3
23.4,29.2,18.7,1010.7,64,2.3,1.5,3.5,66.71
23.8,29.4,18.3,1011.4,67,2.6,1.3,3.5,64.86
23.9,29.4,18.9,1012.1,71,2.3,0.7,1.9,68.74
24.4,26.2,22.8,1012.4,80,2.3,1.9,3.5,38.79
23.6,25.4,22.2,1011.7,81,2.6,1.9,5.4,35.13
22.4,23.6,20.4,1010.5,88,1.8,1.3,3.5,31.37
24,29.6,19.1,1009.6,70,2.9,0.4,1.9,67.78
25.2,30.4,19.9,1010,71,2.9,0.2,1.9,72.27
24.2,29.4,19.7,1013,66,2.4,1.1,3.5,74.33
23.2,28,19.8,1013.6,68,3.1,0.9,3.5,71.72
22.4,27.2,18.2,1014.6,68,1.8,2,5.4,90.43
22.5,29.3,17.7,1014.3,69,2.3,0.9,1.9,69.2
22.7,28,18,1013.8,69,2.1,1.3,3.5,93.1
23.6,28.2,18.1,1014.6,70,2.7,0.4,1.9,83.16
21.7,23.8,19.8,1014.2,92,1.4,0.7,1.9,21.54
22.8,26.4,19.1,1016,86,1.9,1.5,5.4,39.53
21.9,26.1,19.9,1017.8,85,1.9,1.3,3.5,46.36
19.5,24.2,15.1,1016.6,69,2.6,0.9,3.5,95.36
19.3,24.6,14.2,1015.6,71,1.9,1.3,3.5,105.27
18.6,23.8,14.2,1015.5,70,2.3,0.4,1.9,112.19
17.5,21.6,14.6,1017,56,2.7,3.3,7.6,60.12
16.5,21.4,11.2,1016.6,55,2.7,0.7,1.9,63.5
17.2,22,11.6,1014.9,71,1.9,1.1,3.5,86.29
19.4,23.6,15.8,1020,79,1.9,1.1,3.5,67.9
