T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
27.4,32.2,20.1,1009.0,67.0,4.0,5.2,11.1,27.37
28.4,31.6,24.6,1007.4,63.0,4.0,6.1,11.1,26.21
27.4,32.6,21.0,1007.9,72.0,3.7,7.4,14.8,26.89
30.0,35.6,26.6,1008.1,67.0,4.0,6.7,11.1,32.45
30.5,34.8,26.0,1006.9,76.0,4.0,7.4,9.4,32.25
30.7,35.2,27.4,1006.6,79.0,4.0,6.5,7.6,28.75
28.6,31.6,25.0,1008.4,58.0,4.0,5.2,9.4,45.5
30.2,35.8,24.4,1006.3,55.0,4.0,4.6,7.6,37.29
29.0,36.4,22.6,1006.0,68.0,4.0,5.4,11.1,29.88
31.3,35.6,27.3,1007.5,68.0,4.0,6.1,9.4,23.12
31.1,35.2,27.7,1005.5,72.0,4.0,6.5,9.4,32.31
32.1,36.4,28.1,1004.4,74.0,4.0,7.4,9.4,35.59
31.4,34.6,28.0,1005.3,71.0,4.0,9.6,14.8,13.53
31.1,34.0,28.5,1005.2,74.0,4.0,6.5,9.4,13.16
26.8,30.0,25.0,1002.7,89.0,3.5,9.8,14.8,16.05
31.2,36.2,25.0,1003.2,77.0,3.7,8.0,9.4,53.28
31.9,36.4,28.1,1001.9,79.0,4.0,8.3,13.0,59.71
32.2,36.5,28.6,1001.4,80.0,4.0,8.0,9.4,58.08
30.5,35.8,23.7,1004.7,77.0,4.0,6.7,11.1,42.09
29.8,35.0,23.6,1005.3,70.0,4.0,5.0,11.1,32.18
31.7,35.2,25.9,1005.8,69.0,4.0,6.9,9.4,36.49
31.3,34.6,26.7,1005.1,74.0,4.0,9.3,14.8,30.04
31.4,34.8,26.8,1003.0,73.0,4.0,8.0,11.1,27.54
29.6,32.8,25.0,1002.4,84.0,4.0,6.3,11.1,23.5
32.3,36.8,28.8,1002.3,75.0,4.0,6.3,9.4,38.28
31.9,35.2,28.7,1001.9,78.0,4.0,8.9,14.8,35.13
30.9,34.2,27.5,1002.9,76.0,4.0,8.1,14.8,28.96
31.8,36.0,26.9,1003.4,75.0,4.0,7.4,11.1,30.82
29.1,34.4,26.2,1003.7,81.0,4.0,8.0,11.1,27.43
30.6,35.0,25.7,1003.5,73.0,4.0,5.7,11.1,28.0
29.2,30.6,27.5,1004.1,83.0,4.0,4.6,9.4,15.98
31.1,34.0,27.2,1002.5,76.0,4.0,5.0,7.6,13.71
32.1,35.6,28.6,1000.9,77.0,4.0,7.4,11.1,23.56
31.3,35.8,24.7,999.0,76.0,4.0,3.7,7.6,35.61
32.3,38.4,27.4,997.9,75.0,4.0,4.8,11.1,39.67
30.8,32.4,26.7,998.5,82.0,4.0,8.1,14.8,40.77
31.5,37.2,26.4,999.6,82.0,4.0,4.6,16.5,45.88
31.5,35.2,26.7,1000.8,78.0,4.0,3.9,5.4,35.41
29.8,32.0,28.1,1000.6,86.0,4.0,6.5,9.4,18.28
32.0,35.4,28.6,1003.9,76.0,4.0,8.9,14.8,15.62
31.9,35.0,28.7,1001.7,75.0,4.0,9.1,11.1,16.13
31.7,34.6,29.1,999.6,78.0,4.0,9.1,14.8,17.49
29.3,32.2,27.3,995.6,85.0,4.0,8.1,11.1,17.36
28.9,31.4,27.1,997.3,87.0,4.0,5.0,7.6,14.34
29.6,32.8,26.5,998.8,85.0,4.0,5.4,7.6,15.44
29.7,31.8,27.4,996.9,80.0,4.0,7.2,9.4,13.27
30.4,33.8,28.2,998.5,79.0,4.0,8.1,11.1,20.54
30.9,34.2,28.7,999.1,79.0,4.0,7.6,14.8,22.99
31.7,35.0,28.1,1001.8,77.0,4.0,7.8,14.8,31.38
32.2,36.4,28.6,1000.0,74.0,4.0,7.2,9.4,33.63
32.5,36.6,29.3,999.8,71.0,4.0,6.9,11.1,40.72
31.7,35.4,28.6,1002.1,70.0,4.0,6.3,9.4,14.47
31.3,33.6,28.4,1003.5,74.0,4.0,7.2,11.1,19.59
31.2,35.2,27.6,1003.6,77.0,4.0,6.5,11.1,19.59
30.2,33.2,27.3,1001.0,80.0,4.0,3.9,11.1,32.92
28.4,30.8,26.8,998.8,89.0,4.0,2.2,7.6,27.03
28.9,31.6,26.4,998.4,86.0,4.0,2.2,7.6,22.39
29.7,32.8,27.1,1001.0,82.0,4.0,6.1,11.1,19.89
29.9,32.0,26.6,999.9,79.0,4.0,6.1,11.1,20.43
29.4,32.4,27.4,998.5,85.0,4.0,3.7,9.4,15.87
29.7,32.0,26.9,997.9,84.0,4.0,3.5,7.6,19.29
27.6,28.6,26.1,991.2,93.0,3.7,11.3,14.8,11.17
27.7,29.2,25.6,996.8,92.0,3.7,5.2,11.1,11.51
29.8,32.4,26.5,1000.4,83.0,4.0,3.3,7.6,21.15
27.9,29.6,25.5,999.5,91.0,4.0,4.3,7.6,15.04
29.0,31.6,26.2,1003.4,89.0,3.7,5.2,7.6,30.61
28.1,29.6,25.6,1004.6,94.0,4.0,3.9,5.4,26.27
29.7,33.0,25.8,1004.8,82.0,4.0,5.7,11.1,19.23
30.0,32.8,27.4,1003.3,84.0,4.0,4.3,7.6,27.15
30.8,34.8,27.6,1002.2,79.0,4.0,1.3,3.5,29.64
27.9,29.4,26.2,1001.7,93.0,3.7,3.9,7.6,14.27
28.0,30.2,26.5,1001.5,90.0,4.0,5.0,9.4,14.67
29.2,32.2,26.6,1001.4,86.0,4.0,3.0,9.4,18.71
30.8,34.0,27.2,1000.6,78.0,4.0,2.6,7.6,16.63
29.3,33.0,26.8,1001.1,88.0,3.7,2.8,5.4,33.32
29.5,33.2,26.2,1000.3,83.0,4.0,2.8,5.4,17.72
28.8,31.0,26.2,999.4,88.0,4.0,3.5,9.4,11.79
28.3,30.0,27.2,999.3,92.0,3.7,5.7,9.4,13.86
28.5,30.6,26.9,1001.2,92.0,3.7,4.1,5.4,14.45
29.9,33.6,26.7,1001.2,84.0,4.0,5.6,7.6,22.44
28.9,30.8,26.6,1006.6,87.0,4.0,6.3,11.1,18.59
29.7,32.0,27.0,1006.1,84.0,4.0,5.2,9.4,28.98
30.4,33.8,27.3,1005.5,77.0,4.0,5.2,7.6,27.43
30.2,33.6,27.0,1009.2,78.0,4.0,3.1,9.4,10.16
29.6,34.4,27.0,1008.1,84.0,4.0,2.8,5.4,22.82
27.8,33.8,25.7,1007.8,87.0,4.0,0.7,3.5,32.58
25.9,26.6,24.3,1014.7,95.0,4.0,3.1,5.4,15.01
26.4,29.6,25.0,1015.6,90.0,3.5,3.3,14.8,18.12
27.1,29.8,24.2,1014.1,87.0,4.0,1.3,5.4,20.19
29.2,32.2,25.7,1008.4,78.0,3.7,2.8,5.4,27.2
30.2,33.2,26.1,1009.1,75.0,3.7,2.4,5.4,50.76
28.0,29.4,26.3,1009.1,88.0,3.7,2.2,5.4,7.82
27.4,30.4,25.0,1010.4,86.0,3.5,1.9,5.4,35.58
28.3,30.8,24.5,1010.9,79.0,3.7,4.1,11.1,26.26
25.4,27.8,24.5,1010.4,95.0,3.2,1.9,5.4,13.05
27.7,31.4,24.8,1011.4,83.0,3.1,1.3,5.4,71.69
28.2,32.0,23.6,1012.3,72.0,3.7,2.6,5.4,74.06
28.4,32.6,24.1,1012.5,72.0,3.2,1.7,7.6,67.65
29.6,33.6,25.2,1013.1,77.0,4.0,2.4,5.4,76.49
29.0,33.2,25.6,1012.4,79.0,3.7,2.6,7.6,69.17
28.7,32.4,25.4,1010.5,80.0,3.1,3.0,5.4,97.34
23.4,25.0,21.3,1009.6,96.0,3.5,4.8,11.1,15.26
24.1,26.4,21.7,1011.7,91.0,3.5,3.1,7.6,32.24
25.6,29.2,22.2,1012.3,84.0,3.1,3.7,9.4,65.35
25.9,30.0,22.2,1011.1,80.0,2.3,1.5,5.4,112.71
26.2,30.2,22.6,1011.2,77.0,2.7,1.9,5.4,104.5
26.4,30.6,22.3,1011.7,76.0,3.1,2.2,7.6,45.07
26.7,31.0,22.6,1011.5,75.0,3.5,2.2,7.6,61.09
24.9,28.6,19.6,1009.4,66.0,2.7,3.1,9.4,84.11
24.1,26.2,23.2,1009.9,89.0,1.9,6.3,9.4,44.38
23.5,24.0,22.6,1005.9,96.0,1.9,10.6,14.8,12.4
23.8,28.8,19.3,1014.8,76.0,2.6,1.3,5.4,99.91
24.6,29.4,19.5,1014.2,78.0,2.7,2.2,7.6,69.71
25.1,30.4,20.3,1013.3,78.0,3.1,2.0,5.4,68.25
23.4,29.8,19.6,1013.7,72.0,2.7,2.0,7.6,88.8
23.3,29.2,18.1,1014.5,69.0,3.1,1.1,3.5,99.0
22.8,28.2,18.2,1014.9,72.0,3.1,2.2,7.6,87.97
23.8,28.6,19.1,1014.9,79.0,1.9,0.9,3.5,116.4
23.7,29.0,20.0,1014.6,83.0,1.9,0.7,3.5,120.24
24.1,28.8,19.7,1014.7,81.0,2.3,2.0,7.6,110.21
22.9,27.0,19.0,1015.3,75.0,1.9,2.0,7.6,96.03
23.0,28.2,18.5,1015.2,64.0,2.6,2.0,7.6,88.68
21.6,26.4,16.6,1015.8,73.0,1.9,0.7,3.5,95.77
23.3,28.8,18.3,1016.6,76.0,2.7,0.9,3.5,65.08
24.1,28.8,19.4,1016.4,73.0,2.6,2.0,5.4,73.5
22.7,28.2,19.0,1015.9,67.0,2.6,2.8,7.6,55.81
22.8,27.2,18.4,1016.7,78.0,2.1,2.4,5.4,94.1
23.2,27.4,18.8,1017.0,80.0,1.8,0.9,3.5,113.28
21.9,26.0,18.5,1016.6,82.0,1.9,3.1,7.6,90.49
16.6,20.8,11.7,1016.1,66.0,2.3,4.8,7.6,69.82
16.2,21.0,11.6,1015.1,72.0,2.3,2.2,5.4,86.89
16.5,21.4,12.7,1015.7,79.0,1.9,2.8,7.6,138.83
19.2,24.0,13.9,1015.9,74.0,1.9,0.9,3.5,127.62
16.9,19.2,14.6,1015.8,82.0,1.6,4.4,11.1,124.16
15.8,19.6,12.3,1015.8,84.0,1.8,4.8,9.4,85.83
17.2,24.4,11.6,1017.9,75.0,1.9,1.3,3.5,129.71
18.7,24.2,12.1,1019.5,76.0,2.3,1.5,3.5,134.0
20.3,25.0,15.3,1019.6,75.0,1.9,2.8,5.4,121.78
17.5,17.8,15.8,1017.4,98.0,1.9,3.3,9.4,55.62
16.7,21.6,12.2,1016.9,81.0,1.1,2.6,9.4,105.04
18.6,23.4,13.3,1015.4,76.0,1.6,1.5,7.6,124.97
18.7,22.4,15.5,1015.5,83.0,1.3,1.5,3.5,88.78
17.7,22.2,11.7,1013.2,64.0,1.8,3.1,7.6,95.76
18.2,24.4,12.1,1013.9,66.0,1.8,1.1,3.5,171.67
19.6,25.8,13.5,1015.1,70.0,1.6,1.1,3.5,190.61
21.4,26.2,15.7,1015.2,72.0,2.4,4.3,9.4,90.63
18.4,22.0,15.4,1017.3,73.0,1.9,3.1,7.6,73.59
18.4,23.4,13.8,1019.0,70.0,1.9,2.2,5.4,95.62
17.4,22.7,12.0,1015.1,60.0,2.6,2.2,9.4,73.85
18.2,23.8,12.5,1013.4,65.0,2.6,1.9,7.6,126.39
18.1,23.0,12.7,1013.4,68.0,1.9,2.6,7.6,125.38
19.1,23.2,15.5,1014.8,71.0,1.9,2.8,9.4,79.91
18.9,24.0,13.5,1016.8,64.0,2.6,2.4,3.5,74.42
17.6,23.0,12.6,1018.3,56.0,2.7,2.2,5.4,53.58
19.9,22.8,16.3,1017.4,61.0,1.9,3.3,5.4,91.13
18.5,20.2,16.8,1018.7,72.0,1.9,2.4,5.4,124.25
19.7,25.2,15.4,1018.5,63.0,2.1,3.5,9.4,93.48
20.1,26.0,14.3,1013.6,56.0,2.1,1.9,5.4,106.35
22.1,28.0,15.2,1010.5,60.0,2.6,2.2,7.6,113.43
21.9,27.4,17.1,1013.0,54.0,2.7,3.1,11.1,65.68
23.7,28.6,18.7,1015.6,70.0,2.4,3.9,7.6,79.36
24.5,29.0,20.5,1016.3,65.0,3.1,4.1,7.6,54.13
23.7,29.4,18.8,1018.3,64.0,2.1,2.0,7.6,83.83
20.3,21.8,18.6,1013.9,84.0,1.9,3.0,5.4,77.84
22.8,26.8,17.8,1014.0,70.0,3.1,3.1,5.4,40.53
23.2,27.2,19.2,1014.2,67.0,3.1,2.4,3.5,44.97
24.7,30.0,19.1,1012.3,63.0,3.1,1.5,3.5,93.51
25.9,30.6,19.9,1011.6,64.0,3.1,2.0,5.4,98.42
24.7,30.4,20.2,1011.0,71.0,3.1,4.3,7.6,77.32
24.1,26.4,21.0,1013.8,82.0,3.7,3.0,3.5,30.91
24.8,30.0,20.6,1012.2,72.0,3.7,2.4,5.4,35.73
24.3,30.0,19.5,1011.9,59.0,3.5,2.6,7.6,54.52
28.6,33.2,22.2,1013.6,66.0,3.5,2.0,5.4,54.84
25.6,30.7,20.8,1013.9,60.0,4.0,7.2,11.1,44.12
25.5,30.8,19.2,1013.4,64.0,3.7,4.4,11.1,22.86
27.2,32.6,21.1,1011.7,52.0,3.7,3.7,11.1,74.15
26.9,32.0,22.5,1011.0,54.0,4.0,3.9,9.4,33.76
27.4,33.4,21.6,1011.8,62.0,3.5,5.7,11.1,36.7
28.7,33.8,23.1,1008.6,70.0,3.7,3.9,5.4,40.68
29.6,34.8,25.0,1010.1,56.0,4.0,3.9,9.4,28.77
30.5,36.2,24.5,1010.4,51.0,4.0,3.9,7.6,41.37
30.4,35.8,24.5,1009.8,48.0,4.0,2.2,5.4,34.9
30.5,36.8,26.0,1008.1,59.0,4.0,2.4,3.5,42.91
30.6,36.2,24.5,1007.3,68.0,4.0,3.9,9.4,35.89
31.3,36.2,26.6,1008.9,61.0,4.0,1.3,3.5,38.46
31.2,37.4,25.5,1007.8,56.0,4.0,3.3,7.6,38.89
30.1,35.2,25.9,1009.1,49.0,4.0,7.0,18.3,25.45
29.9,35.0,24.8,1010.1,53.0,4.0,2.8,5.4,21.51
30.6,35.0,26.5,1008.2,73.0,4.0,3.9,5.4,25.23
31.2,36.4,27.1,1009.0,73.0,4.0,2.4,3.5,27.02
29.2,35.2,24.2,1008.9,75.0,3.7,2.4,3.5,24.59
30.2,34.2,24.8,1008.2,67.0,4.0,7.0,9.4,13.21
29.4,33.8,23.6,1009.4,74.0,3.7,3.3,5.4,15.1
23.7,25.4,20.5,1009.9,79.0,4.0,2.4,5.4,11.45
28.7,32.8,23.6,1008.0,74.0,4.0,4.1,5.4,15.05
27.4,32.2,23.1,1010.3,75.0,4.0,3.0,5.4,16.31
27.1,29.8,24.2,1011.8,79.0,4.0,4.1,7.6,11.57
25.4,32.8,22.2,1008.6,83.0,3.5,3.7,9.4,10.14
26.8,30.8,21.1,1006.8,81.0,3.5,0.7,1.9,19.5
28.4,32.8,23.0,1007.3,77.0,4.0,2.2,5.4,18.65
28.8,34.6,24.4,1007.9,72.0,4.0,1.5,5.4,16.27
30.1,34.2,23.7,1006.9,72.0,4.0,3.3,7.6,15.58
32.0,37.2,27.0,1007.4,65.0,4.0,2.4,5.4,20.58
30.6,32.0,29.2,1004.2,79.0,4.0,13.7,16.5,17.75
30.4,31.8,28.7,1003.7,78.0,4.0,14.1,18.3,17.19
28.3,32.8,23.0,1003.9,82.0,3.2,7.8,14.8,6.84
29.7,34.4,25.0,1008.3,74.0,4.0,4.6,14.8,13.79
29.5,33.4,24.9,1008.1,79.0,4.0,6.9,13.0,13.55
29.9,35.4,26.1,1006.5,77.0,3.7,7.8,16.5,16.96
31.2,34.8,25.7,1005.0,74.0,4.0,7.0,11.1,15.94
29.8,35.6,26.0,1002.0,80.0,3.7,2.6,7.6,23.52
30.4,35.2,25.4,1001.5,81.0,4.0,3.5,7.6,24.1
31.8,35.8,27.7,1001.8,75.0,4.0,3.3,5.4,22.47
29.2,30.8,27.1,999.8,90.0,3.5,4.6,7.6,12.84
28.4,30.0,27.0,1001.0,93.0,4.0,4.1,7.6,11.13
29.4,31.8,26.0,1000.2,87.0,4.0,5.0,7.6,13.52
29.9,32.8,27.5,1001.0,85.0,4.0,4.8,7.6,18.49
29.3,31.0,27.8,1000.2,86.0,3.7,4.1,9.4,10.76
28.9,31.2,27.4,998.6,88.0,3.7,4.3,9.4,11.76
31.1,34.4,27.2,1004.0,73.0,4.0,8.9,13.0,16.93
30.6,34.2,26.0,1002.6,74.0,3.7,11.5,16.5,9.42
28.3,32.6,25.0,1002.4,86.0,3.7,6.5,13.0,8.67
31.9,34.8,28.1,1001.5,74.0,4.0,7.4,9.4,12.25
31.8,35.6,28.5,999.9,73.0,4.0,6.7,11.1,12.61
31.2,34.6,28.5,1000.5,77.0,4.0,4.6,9.4,10.11
29.6,31.0,27.0,1002.1,88.0,4.0,3.5,5.4,12.82
30.4,33.0,27.7,1002.8,84.0,4.0,6.3,9.4,21.28
30.6,33.6,27.6,1001.1,83.0,4.0,10.0,14.8,15.33
29.7,31.5,25.8,1000.1,89.0,4.0,2.4,5.4,21.99
30.3,33.4,28.0,1000.9,80.0,4.0,5.2,7.6,15.81
28.8,31.8,27.2,1001.5,87.0,4.0,4.8,7.6,13.47
29.7,32.8,26.5,1002.4,86.0,3.7,8.5,11.1,6.65
28.3,31.0,26.2,1003.6,91.0,4.0,5.6,11.1,10.61
30.6,33.8,26.2,1006.5,81.0,4.0,2.8,5.4,13.59
31.8,35.3,27.9,1005.1,79.0,4.0,5.0,7.6,14.81
30.2,35.4,28.4,1003.4,85.0,3.5,5.0,7.6,21.72
30.7,34.6,27.7,1003.4,82.0,4.0,3.3,7.6,9.72
