T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
29.9,33.6,26.7,1001.2,84,4,5.6,7.6,22.44
28.9,30.8,26.6,1006.6,87,4,6.3,11.1,18.59
29.7,32,27,1006.1,84,4,5.2,9.4,28.98
30.4,33.8,27.3,1005.5,77,4,5.2,7.6,27.43
30.2,33.6,27,1009.2,78,4,3.1,9.4,10.16
29.6,34.4,27,1008.1,84,4,2.8,5.4,22.82
27.8,33.8,25.7,1007.8,87,4,0.7,3.5,32.58
25.9,26.6,24.3,1014.7,95,4,3.1,5.4,15.01
26.4,29.6,25,1015.6,90,3.5,3.3,14.8,18.12
27.1,29.8,24.2,1014.1,87,4,1.3,5.4,20.19
29.2,32.2,25.7,1008.4,78,3.7,2.8,5.4,27.2
30.2,33.2,26.1,1009.1,75,3.7,2.4,5.4,50.76
28,29.4,26.3,1009.1,88,3.7,2.2,5.4,7.82
27.4,30.4,25,1010.4,86,3.5,1.9,5.4,35.58
28.3,30.8,24.5,1010.9,79,3.7,4.1,11.1,26.26
25.4,27.8,24.5,1010.4,95,3.2,1.9,5.4,13.05
27.7,31.4,24.8,1011.4,83,3.1,1.3,5.4,71.69
28.2,32,23.6,1012.3,72,3.7,2.6,5.4,74.06
28.4,32.6,24.1,1012.5,72,3.2,1.7,7.6,67.65
29.6,33.6,25.2,1013.1,77,4,2.4,5.4,76.49
29,33.2,25.6,1012.4,79,3.7,2.6,7.6,69.17
28.7,32.4,25.4,1010.5,80,3.1,3,5.4,97.34
23.4,25,21.3,1009.6,96,3.5,4.8,11.1,15.26
24.1,26.4,21.7,1011.7,91,3.5,3.1,7.6,32.24
25.6,29.2,22.2,1012.3,84,3.1,3.7,9.4,65.35
25.9,30,22.2,1011.1,80,2.3,1.5,5.4,112.71
26.2,30.2,22.6,1011.2,77,2.7,1.9,5.4,104.5
26.4,30.6,22.3,1011.7,76,3.1,2.2,7.6,45.07
26.7,31,22.6,1011.5,75,3.5,2.2,7.6,61.09
24.9,28.6,19.6,1009.4,66,2.7,3.1,9.4,84.11
24.1,26.2,23.2,1009.9,89,1.9,6.3,9.4,44.38
23.5,24,22.6,1005.9,96,1.9,10.6,14.8,12.4
23.8,28.8,19.3,1014.8,76,2.6,1.3,5.4,99.91
24.6,29.4,19.5,1014.2,78,2.7,2.2,7.6,69.71
25.1,30.4,20.3,1013.3,78,3.1,2,5.4,68.25
23.4,29.8,19.6,1013.7,72,2.7,2,7.6,88.8
23.3,29.2,18.1,1014.5,69,3.1,1.1,3.5,99
22.8,28.2,18.2,1014.9,72,3.1,2.2,7.6,87.97
23.8,28.6,19.1,1014.9,79,1.9,0.9,3.5,116.4
23.7,29,20,1014.6,83,1.9,0.7,3.5,120.24
24.1,28.8,19.7,1014.7,81,2.3,2,7.6,110.21
22.9,27,19,1015.3,75,1.9,2,7.6,96.03
23,28.2,18.5,1015.2,64,2.6,2,7.6,88.68
21.6,26.4,16.6,1015.8,73,1.9,0.7,3.5,95.77
23.3,28.8,18.3,1016.6,76,2.7,0.9,3.5,65.08
24.1,28.8,19.4,1016.4,73,2.6,2,5.4,73.5
22.7,28.2,19,1015.9,67,2.6,2.8,7.6,55.81
22.8,27.2,18.4,1016.7,78,2.1,2.4,5.4,94.1
23.2,27.4,18.8,1017,80,1.8,0.9,3.5,113.28
21.9,26,18.5,1016.6,82,1.9,3.1,7.6,90.49
16.6,20.8,11.7,1016.1,66,2.3,4.8,7.6,69.82
16.2,21,11.6,1015.1,72,2.3,2.2,5.4,86.89
16.5,21.4,12.7,1015.7,79,1.9,2.8,7.6,138.83
19.2,24,13.9,1015.9,74,1.9,0.9,3.5,127.62
16.9,19.2,14.6,1015.8,82,1.6,4.4,11.1,124.16
15.8,19.6,12.3,1015.8,84,1.8,4.8,9.4,85.83
17.2,24.4,11.6,1017.9,75,1.9,1.3,3.5,129.71
